Subject,Age,Gender
HC_003,6.0,M
HC_024,11.0,F
HC_001,13.0,M
HC_002,13.0,M
HC_004,7.0,M
HC_005,10.0,F
HC_006,7.0,F
HC_007,12.0,M
HC_008,11.0,M
HC_009,15.0,F
HC_010,12.0,F
HC_011,15.0,F
HC_012,11.0,M
HC_013,12.0,M
HC_014,8.0,M
HC_015,8.0,M
HC_016,7.0,F
HC_017,9.0,M
HC_018,10.0,F
HC_019,14.0,F
HC_020,10.0,M
HC_021,5.0,F
HC_022,11.0,F
HC_023,10.0,M
HC_025,9.0,M
HC_026,7.0,M
HC_027,5.0,M
HC_028,14.0,M
HC_029,9.0,F
100,41.0,F
101,45.0,M
102,24.0,F
103,31.0,M
104,26.0,M
105,38.0,M
106,36.0,M
107,31.0,F
108,43.0,M
109,36.0,F
110,37.0,M
111,25.0,M
112,23.0,M
113,32.0,F
114,65.0,F
115,72.0,M
116,23.0,M
118,25.0,F
119,32.0,F
12,38.0,M
120,53.0,F
121,35.0,M
122,22.0,F
123,46.0,F
126,57.0,M
127,29.0,F
128,27.0,F
129,23.0,M
13,46.0,M
130,38.0,M
131,45.0,F
132,58.0,M
134,47.0,M
135,29.0,M
136,35.0,M
137,41.0,M
138,33.0,F
139,32.0,M
14,34.0,F
140,27.0,F
350,62.0,M
351,56.0,F
353,52.0,F
354,45.0,M
356,64.0,F
357,63.0,F
358,62.0,F
359,62.0,F
36,23.0,M
360,54.0,F
361,54.0,F
362,41.0,F
363,60.0,F
364,67.0,F
365,66.0,F
367,54.0,F
368,54.0,F
369,60.0,F
37,37.0,F
370,60.0,F
371,26.0,F
372,29.0,M
373,58.0,F
142,48.0,F
143,31.0,F
144,29.0,F
145,49.0,M
146,33.0,M
148,40.0,F
15,24.0,M
150,27.0,F
151,45.0,M
153,22.0,M
154,24.0,F
156,59.0,F
157,54.0,F
158,75.0,F
159,24.0,F
16,55.0,M
160,39.0,F
161,65.0,F
162,50.0,M
163,48.0,M
164,64.0,M
165,24.0,M
592,48.0,M
593,55.0,F
594,62.0,M
595,49.0,F
596,29.0,M
597,43.0,F
598,52.0,M
599,39.0,M
60,30.0,M
600,38.0,M
601,35.0,M
603,66.0,F
605,70.0,F
606,60.0,M
607,83.0,M
608,52.0,M
609,29.0,M
61,59.0,F
610,56.0,M
611,28.0,M
612,33.0,M
613,25.0,M
614,26.0,F
616,55.0,M
617,39.0,M
618,37.0,M
619,24.0,M
62,36.0,M
621,31.0,M
622,59.0,M
625,47.0,M
626,64.0,M
627,68.0,M
629,59.0,M
63,41.0,M
630,54.0,M
631,41.0,M
632,56.0,M
167,67.0,F
168,43.0,M
169,58.0,F
17,29.0,F
170,31.0,F
172,74.0,M
173,29.0,F
174,63.0,F
175,72.0,M
176,24.0,M
177,34.0,M
178,25.0,M
179,30.0,M
180,42.0,F
181,45.0,M
182,60.0,M
183,30.0,M
184,30.0,M
185,83.0,M
186,61.0,F
188,44.0,F
189,41.0,F
141,46.0,F
166,41.0,F
19,58.0,M
211,55.0,M
234,33.0,M
258,22.0,F
282,40.0,M
305,62.0,F
35,37.0,F
375,41.0,F
40,44.0,F
420,73.0,F
443,69.0,M
464,86.0,F
49,31.0,M
528,40.0,M
552,64.0,F
59,34.0,M
633,36.0,M
76,55.0,M
191,44.0,M
192,38.0,M
193,55.0,F
194,48.0,F
195,37.0,M
196,29.0,F
197,60.0,F
198,45.0,M
199,63.0,M
2,35.0,F
20,39.0,M
200,49.0,F
201,22.0,F
202,20.0,M
204,74.0,F
205,45.0,M
206,50.0,F
207,40.0,F
208,34.0,M
209,32.0,M
21,21.0,F
210,69.0,M
212,59.0,M
213,54.0,F
214,24.0,F
216,73.0,M
217,57.0,F
218,35.0,F
219,58.0,F
22,30.0,M
221,48.0,M
222,36.0,F
223,63.0,M
224,36.0,F
225,47.0,F
226,41.0,F
227,67.0,F
229,72.0,F
23,33.0,F
230,21.0,F
231,58.0,F
232,28.0,F
233,26.0,F
236,25.0,M
237,78.0,F
238,27.0,F
239,62.0,F
24,37.0,F
240,39.0,M
241,30.0,M
242,31.0,M
244,49.0,F
246,42.0,F
247,29.0,M
248,44.0,F
249,68.0,M
25,29.0,F
250,72.0,F
251,80.0,F
252,70.0,F
253,24.0,F
254,25.0,F
255,57.0,F
256,27.0,M
257,69.0,M
259,59.0,F
26,34.0,F
260,60.0,M
261,34.0,M
262,20.0,F
263,25.0,F
264,44.0,F
265,27.0,F
266,61.0,F
267,35.0,M
268,44.0,F
269,26.0,F
27,30.0,M
270,61.0,F
274,73.0,F
275,24.0,M
276,20.0,M
277,61.0,F
278,20.0,M
279,51.0,M
28,74.0,M
280,42.0,F
284,63.0,F
285,40.0,M
286,54.0,M
287,44.0,F
288,78.0,F
289,60.0,M
29,59.0,F
290,45.0,F
291,30.0,F
292,23.0,F
293,26.0,F
294,27.0,F
295,50.0,F
296,63.0,F
297,51.0,M
298,43.0,F
299,53.0,F
30,31.0,M
300,38.0,M
302,59.0,M
303,25.0,M
304,46.0,F
306,30.0,F
307,33.0,M
308,41.0,M
309,33.0,M
31,31.0,M
310,62.0,F
311,61.0,M
312,59.0,F
313,65.0,M
314,45.0,M
315,25.0,F
316,56.0,M
317,67.0,M
318,54.0,F
319,59.0,M
320,29.0,F
321,54.0,F
322,28.0,F
324,60.0,M
325,52.0,F
326,67.0,F
327,73.0,M
328,62.0,M
329,55.0,M
33,24.0,M
330,44.0,M
331,23.0,M
332,42.0,F
334,69.0,F
335,69.0,M
336,67.0,M
338,61.0,F
34,24.0,F
342,48.0,M
344,62.0,M
348,38.0,F
400,55.0,F
401,55.0,F
402,53.0,F
403,53.0,F
404,62.0,M
405,58.0,F
406,58.0,F
407,58.0,F
408,52.0,F
409,70.0,F
41,27.0,M
410,53.0,F
411,53.0,F
412,58.0,F
413,59.0,F
414,59.0,F
415,72.0,F
416,72.0,F
417,59.0,M
418,59.0,F
419,73.0,F
42,27.0,F
444,58.0,F
445,60.0,M
446,60.0,F
447,72.0,F
448,79.0,M
449,46.0,M
45,40.0,F
450,68.0,M
451,41.0,F
452,63.0,F
453,63.0,M
454,32.0,M
455,68.0,F
456,70.0,F
458,70.0,M
459,62.0,F
46,37.0,F
